,title,deal_rating,mileage,price,stock_type,location
6019,2019 Nissan Armada SV,Good Deal,"64,553 mi.","$23,480
$290 price drop",Used,"Homestead, FL"
6020,2021 Jeep Grand Cherokee L Overland,Good Deal,"39,612 mi.","$40,374
$1,626 price drop",Used,"Fairmont, WV"
6021,2018 Ford Fiesta SE,Great Deal,"88,667 mi.","$9,952",Used,"Cedarville, IL"
6022,2023 GMC HUMMER EV Edition 1,Good Deal,392 mi.,"$119,790
$100 price drop",Used,"Indianola, IA"
6023,2023 Nissan Rogue SV,Good Deal,"6,800 mi.","$25,988
$468 price drop",Used,"Huntsville, AL"
6024,2023 Jeep Wagoneer L Series III,Good Deal,"10,149 mi.","$78,902
$499 price drop",Jeep Certified,"Franklin, TN"
6025,2016 Porsche Cayman GT4,Fair Deal,"18,803 mi.","$108,490",Used,"Dublin, OH"
6026,2021 BMW M850 xDrive,Fair Deal,"22,614 mi.","$72,999
$1,000 price drop",Used,"Minneapolis, MN"
6027,2020 Ford Edge Titanium,Good Deal,"21,001 mi.","$24,214",Used,"Defiance, OH"
6028,2019 Jeep Cherokee Trailhawk Elite,Good Deal,"41,355 mi.","$24,999",Used,"Waco, TX"
6029,2021 Volkswagen Jetta 1.4T S,Good Deal,"23,964 mi.","$18,881",Used,"Dallas, TX"
6030,2015 INFINITI Q70 3.7,Good Deal,"80,076 mi.","$18,775",Used,"Columbia, SC"
6031,2023 Hyundai Santa Fe HEV SEL Premium,Great Deal,"4,746 mi.","$30,990
$1,183 price drop",Hyundai Certified,"Tallahassee, FL"
6032,2021 Lexus UX 200 Base,Good Deal,"41,200 mi.","$26,719
$2,351 price drop",Used,"Virginia Beach, VA"
6033,2021 BMW X7 M50i,Fair Deal,"67,435 mi.","$57,995
$2,000 price drop",Used,"Grand Junction, CO"
6034,2015 Mercedes-Benz GL-Class GL 550 4MATIC,Good Deal,"31,273 mi.","$36,998
$3,000 price drop",Used,"Lancaster, PA"
6035,2018 Acura ILX,Great Deal,"58,313 mi.","$17,269",Used,"Colorado Springs, CO"
6036,2022 GMC Acadia SLE,Good Deal,"28,604 mi.","$28,916
$1,246 price drop",Used,"Quincy, IL"
6037,2017 INFINITI QX60 Base,Great Deal,"120,160 mi.","$14,288",Used,"Davenport, IA"
6038,2012 INFINITI G37 Journey,Great Deal,"81,804 mi.","$16,998",Used,"Houston, TX"
6039,2023 Ford Bronco Wildtrak,Fair Deal,"1,728 mi.","$57,920
$1,033 price drop",Used,"Toledo, OH"
6040,2010 Ford Taurus SEL,Great Deal,"89,600 mi.","$6,900",Used,"Fergus Falls, MN"
6041,2020 Kia Telluride LX,Great Deal,"136,393 mi.","$20,373",Used,"Quincy, IL"
6042,2021 Mercedes-Benz A-Class A 220 4MATIC,Great Deal,"33,790 mi.","$29,500",Used,"Omaha, NE"
6043,2021 BMW 330 i,Good Deal,"9,618 mi.","$33,998",Used,"Fresno, CA"
6044,2012 Chrysler 200 Limited,Fair Deal,"123,546 mi.","$7,995",Used,"Canton, OH"
6045,2016 Hyundai Sonata SE,Good Deal,"90,075 mi.","$12,995",Used,"Wasilla, AK"
6046,2016 BMW X6 xDrive35i,Good Deal,"54,785 mi.","$28,800",Used,"Virginia Beach, VA"
6047,2014 Mazda Mazda6 i Sport,Good Deal,"46,407 mi.","$16,998",Used,"Mechanicsburg, PA"
6048,2019 Hyundai Elantra GT N Line,Good Deal,"31,841 mi.","$19,995
$100 price drop",Used,"ST. LOUIS PARK, MN"
6049,2022 Audi Q5 45 S line Premium Plus,Good Deal,"48,839 mi.","$29,090
$574 price drop",Used,"Augusta, GA"
6050,2016 Cadillac ATS 2.5L,Good Deal,"90,757 mi.","$17,998
$1,000 price drop",Used,"Baton Rouge, LA"
6051,2023 Jeep Gladiator Overland,Great Deal,"30,449 mi.","$33,950
$600 price drop",Used,"American Fork, UT"
6052,2010 Mercedes-Benz GLK-Class GLK 350 4MATIC,Good Deal,"128,929 mi.","$10,998",Used,"Denver, CO"
6053,2021 BMW 540 xDrive,Great Deal,"30,046 mi.","$36,400",Used,"Ephrata, PA"
6054,2023 GMC Acadia Denali,Good Deal,"23,401 mi.","$41,995",Used,"Joplin, MO"
6055,2021 RAM 1500 Classic SLT,Good Deal,"63,102 mi.","$30,000",Used,"Fort Walton Beach, FL"
6056,2018 BMW X5 eDrive xDrive40e,Good Deal,"54,748 mi.","$26,888
$105 price drop",Used,"Tempe, AZ"
6057,2019 Mercedes-Benz GLC 300 Base,Good Deal,"24,479 mi.","$27,831",Used,"Santa Rosa, CA"
6058,2014 Chevrolet Captiva Sport LT,Great Deal,"63,265 mi.","$9,795",Used,"Meadville, PA"
6059,2013 Toyota Prius Plug-in,Good Deal,"147,164 mi.","$10,905",Used,"Buena Park, CA"
6060,2012 MINI Cooper S Countryman Base,Good Deal,"45,376 mi.","$12,242
$561 price drop",Used,"Blaine, MN"
6061,2020 Jeep Gladiator Overland,Great Deal,"75,546 mi.","$31,984",Used,"Preston, ID"
6062,2020 Chevrolet Suburban Premier,Good Deal,"73,126 mi.","$46,597",Used,"Somerset, KY"
6063,2017 BMW 328d xDrive,Good Deal,"89,691 mi.","$17,000
$500 price drop",Used,"Bloomington, IN"
6064,2023 Hyundai Santa Fe SEL 2.4,Good Deal,"14,398 mi.","$30,900",Used,"North Platte, NE"
6065,2021 Toyota Sequoia Platinum,Good Deal,"34,171 mi.","$54,999",Used,"Abilene, TX"
6066,2022 Toyota RAV4 Hybrid XLE,Good Deal,"16,926 mi.","$28,998
$488 price drop",Used,"Coconut Creek, FL"
6067,2022 Chrysler Pacifica Touring L,Good Deal,"59,976 mi.","$24,972",Used,"Grand Rapids, MN"
6068,2019 Mazda CX-3 Touring,Good Deal,"29,600 mi.","$19,928",Used,"Lockport, NY"
6069,2015 Buick Verano Base,Great Deal,"73,856 mi.","$14,095",Used,"Baton Rouge, LA"
6070,2023 GMC Acadia SLT,Good Deal,"13,701 mi.","$33,990",Used,"Jamestown, CA"
6071,2017 Subaru Forester 2.5i Premium,Good Deal,"82,911 mi.","$16,988",Used,"Oklahoma City, OK"
6072,2020 Honda Civic EX-L,Good Deal,"75,615 mi.","$21,014",Used,"Riverside, CA"
6073,2019 Nissan Murano S,Great Deal,"65,803 mi.","$19,220",Used,"Attica, IN"
6074,2021 RAM ProMaster 1500 Low Roof,Good Deal,"32,131 mi.","$29,471",Used,"Orange, CA"
6075,2019 Nissan Rogue SV,Good Deal,"80,409 mi.","$18,500
$500 price drop",Used,"Spokane, WA"
6076,2021 GMC Terrain SLE,Good Deal,"33,016 mi.","$22,995",Used,"Charlotte, MI"
6077,2022 Ford Bronco Sport Base,Good Deal,"27,744 mi.","$22,995
$2,000 price drop",Used,"Rock Springs, WY"
6078,2020 BMW ALPINA B7 xDrive,Good Deal,"41,961 mi.","$74,250
$340 price drop",Used,"Dublin, OH"
6079,2015 Lexus GS 350 Crafted Line,Good Deal,"118,212 mi.","$18,500",Used,"Oklahoma City, OK"
6080,2018 Land Rover Discovery HSE,Fair Deal,"81,348 mi.","$23,494",Used,"Dallas, TX"
6081,2019 McLaren 600LT,Great Deal,"14,306 mi.","$199,930",Used,"Murrieta, CA"
6082,2023 Mazda CX-5 2.5 S Premium AWD 4dr SUV,Good Deal,"11,440 mi.","$28,600",Used,"Ammon, ID"
6083,2021 MINI Hardtop Cooper S,Good Deal,"11,717 mi.","$25,998",Used,"San Francisco, CA"
6084,2016 Mercedes-Benz S-Class 4dr Sdn S 550 RWD,Good Deal,"44,100 mi.","$35,598
$396 price drop",Used,"Cuyahoga Falls, OH"
6085,2020 GMC Terrain Denali,Good Deal,"14,682 mi.","$32,496",GMC Certified,"Jasper, IN"
6086,2021 Ford Bronco First Edition,Great Deal,"6,657 mi.","$52,503
$100 price drop",Used,"Metairie, LA"
6087,2012 Audi A7 Premium,Fair Deal,"110,374 mi.","$14,989",Used,"Appleton, WI"
6088,2018 Honda Fit Sport,Fair Deal,"32,717 mi.","$18,500
$500 price drop",Used,"North Kansas City, MO"
6089,2021 Chevrolet Silverado 1500 LT,Great Deal,"31,953 mi.","$37,025",Used,"San Angelo, TX"
6090,2008 Suzuki SX4 Touring,Good Deal,"140,459 mi.","$5,595",Used,"Paramus, NJ"
6091,2021 Chrysler 300 S,Good Deal,"47,506 mi.","$25,995",Used,"Wysox, PA"
6092,2022 Genesis GV70 2.5T AWD,Good Deal,"26,003 mi.","$39,987",Used,"Pittsburgh, PA"
6093,2010 Lincoln MKX,Fair Deal,"66,742 mi.","$12,988",Used,"Reno, NV"
6094,2015 Cadillac CTS 2.0L Turbo Luxury,Good Deal,"93,542 mi.","$13,988",Used,"Gresham, OR"
6095,2024 Kia Telluride EX X-Line,Good Deal,"11,831 mi.","$45,988",Used,"West Springfield, MA"
6096,2018 Jeep Wrangler JK Sport,Great Deal,"52,215 mi.","$22,991",Used,"El Paso, TX"
6097,2021 Lexus NX 300 Base,Great Deal,"38,405 mi.","$29,991",Used,"Slidell, LA"
6098,2022 Ford Escape Titanium Hybrid,Great Deal,"44,551 mi.","$24,998",Used,"Springfield, IL"
6099,2012 BMW 128 i,Fair Deal,"61,656 mi.","$15,499",Used,"Indianapolis, IN"
6100,2014 Honda CR-V LX,Good Deal,"137,374 mi.","$12,599
$300 price drop",Used,"Colorado Springs, CO"
6101,2020 Honda Odyssey Elite,Great Deal,"55,662 mi.","$32,677
$317 price drop",Honda Certified,"Gainesville, FL"
6102,2015 Nissan 370Z Touring,Fair Deal,"92,562 mi.","$20,987",Used,"Starke, FL"
6103,2017 Maserati Levante Base,Great Deal,"42,790 mi.","$29,339",Used,"Hendersonville, TN"
6104,2019 Lexus UX 200 UX 200 Luxury,Good Deal,"34,654 mi.","$25,689",Used,"Houston, TX"
6105,2021 Hyundai Santa Fe Calligraphy,Good Deal,"26,782 mi.","$30,101",Used,"Milwaukee, WI"
6106,2016 Volkswagen Golf SportWagen SEL,Fair Deal,"110,078 mi.","$15,995",Used,"Santa Cruz, CA"
6107,2022 Mercedes-Benz E-Class,Great Deal,"11,370 mi.","$45,998",Used,"Austin, TX"
6108,2022 Chevrolet Suburban High Country,Good Deal,"43,804 mi.","$67,117
$213 price drop",Used,"Shreveport, LA"
6109,2016 Audi S4 3.0T Premium Plus,Fair Deal,"85,655 mi.","$22,495",Used,"Avon, MA"
6110,2022 Kia Sorento Plug-In Hybrid SX,Great Deal,"36,228 mi.","$31,880",Used,"Atlanta, GA"
6111,2019 Buick Encore Preferred,Good Deal,"73,845 mi.","$15,690",Used,"Minocqua, WI"
6112,2021 Jeep Cherokee Trailhawk,Good Deal,"61,900 mi.","$24,219
$577 price drop",Used,"Greensboro, NC"
6113,2017 Honda Civic EX-L,Fair Deal,"121,867 mi.","$16,480",Used,"Joplin, MO"
6114,2018 Ford Transit-150 Base,Good Deal,"177,685 mi.","$16,900
$2,800 price drop",Used,"Erie, PA"
6115,2020 Ford Expedition Max Limited,Great Deal,"85,900 mi.","$32,056",Used,"Columbus, GA"
6116,2002 Lexus SC 430,Good Deal,"137,321 mi.","$9,988",Used,"North Hollywood, CA"
6117,2019 RAM 1500 Big Horn,Good Deal,"118,972 mi.","$25,990",Used,"Soda Springs, ID"
6118,2016 Audi TTS 2.0T quattro,Fair Deal,"34,416 mi.","$33,998",Used,"Gaithersburg, MD"
6119,2020 Volvo XC40 T5 R-Design,Good Deal,"60,363 mi.","$26,992",Used,"Kalamazoo, MI"
6120,2020 GMC Acadia FWD SLE,Fair Deal,"48,938 mi.","$26,595",Used,"Alpena, MI"
6121,2021 Porsche 718 Spyder Base,Good Deal,"2,200 mi.","$136,985",Used,"Scottsdale, AZ"
6122,2017 Ford Flex Limited,Good Deal,"116,687 mi.","$15,747",Used,"Blackfoot, ID"
6123,2023 RAM ProMaster 3500 High Roof,Good Deal,"54,030 mi.","$39,894
$106 price drop",Used,"Defiance, OH"
6124,2013 Toyota 4Runner SR5,Good Deal,"100,874 mi.","$22,433",Used,"Prattville, AL"
6125,2017 RAM ProMaster 1500 Base,Good Deal,"36,300 mi.","$25,995",Used,"Minneola, FL"
6126,2013 Scion FR-S,Great Deal,"86,758 mi.","$16,998",Used,"Pineville, NC"
6127,2014 Toyota Sienna XLE,Great Deal,"161,934 mi.","$11,963",Used,"Bridgeport, WV"
6128,2018 Nissan Frontier PRO-4X,Fair Deal,"147,161 mi.","$19,983
$466 price drop",Used,"Rocky Mount, VA"
6129,2023 BMW M340 i,Good Deal,"12,408 mi.","$54,882",BMW Certified,"Plano, TX"
6130,2015 Nissan Juke SL,Good Deal,"95,758 mi.","$10,995",Used,"Des Moines, IA"
6131,2006 Honda Element EX,Good Deal,"192,000 mi.","$5,499",Used,"La Crescenta, CA"
6132,2016 Volkswagen Passat 1.8T SE,Good Deal,"144,000 mi.","$7,999",Used,"Oriskany, NY"
6133,2023 Toyota Corolla Cross XLE,Good Deal,"17,246 mi.","$28,559
$190 price drop",Used,"Wexford, PA"
6134,2023 Buick Encore GX Preferred,Good Deal,"5,272 mi.","$22,500
$1,000 price drop",Used,"Marianna, FL"
6135,2022 Hyundai Elantra N Base,Great Deal,"29,366 mi.","$29,700
$300 price drop",Used,"Towson, MD"
6136,1993 Dodge D150 LE 2dr Standard Cab SB,Fair Deal,"186,466 mi.","$12,995
$1,000 price drop",Used,"Florence, SC"
6137,2017 Toyota Sienna SE Premium,Good Deal,"102,420 mi.","$20,994
$200 price drop",Used,"Onalaska, WI"
6138,2023 Chevrolet Express 2500 Work Van,Good Deal,"11,611 mi.","$37,980",Used,"Dewitt, MI"
6139,2003 Cadillac DeVille Base,Fair Deal,"87,905 mi.","$6,995",Used,"Chantilly, VA"
6140,2019 Ford F-150 XL,Good Deal,"29,118 mi.","$32,499",Used,"Rogersville, TN"
6141,2022 Lexus UX 200 Base,Good Deal,"9,840 mi.","$31,484
$436 price drop",Used,"Knoxville, TN"
6142,2023 BMW X6 M Base,Great Deal,"2,132 mi.","$101,911",Used,"Glendale, CA"
6143,2023 Chevrolet Trailblazer RS,Fair Deal,"50,852 mi.","$24,800
$188 price drop",Used,"Ventura, CA"
6144,2023 Ford Bronco Sport Outer Banks,Good Deal,"8,439 mi.","$31,600
$680 price drop",Ford Certified,"Delray Beach, FL"
6145,2015 Volvo S80 T5 Platinum,Great Deal,"125,000 mi.","$9,999",Used,"Austin, TX"
6146,2021 BMW 530 i,Good Deal,"42,165 mi.","$32,789
$737 price drop",BMW Certified,"Lafayette, LA"
6147,2021 Jeep Grand Cherokee Limited,Good Deal,"56,974 mi.","$26,659",Used,"Alvin, TX"
6148,2014 Porsche Cayman Base,Fair Deal,"29,214 mi.","$47,998",Used,"El Paso, TX"
6149,1997 Lexus LX 450 Base,Good Deal,"149,500 mi.","$16,000",Used,"Tatamy, PA"
6150,2019 Chrysler 300 Touring,Good Deal,"68,743 mi.","$19,481
$350 price drop",Used,"Jackson, TN"
6151,2018 Jeep Compass Trailhawk,Good Deal,"59,091 mi.","$20,998",Used,"Maplewood, MN"
6152,2022 Subaru Outback Wilderness,Good Deal,"19,296 mi.","$32,995
$500 price drop",Used,"Shrewsbury, MA"
6153,2015 Honda Fit LX,Great Deal,"38,074 mi.","$13,500",Used,"Paola, KS"
6154,2005 Mercury Mountaineer Base,Great Deal,"80,999 mi.","$4,500",Used,"Noblesville, IN"
6155,2022 Toyota Tundra Hybrid Limited,Great Deal,"32,960 mi.","$52,984",Used,"Fayetteville, AR"
6156,2017 Ford Explorer sport,Good Deal,"131,334 mi.","$17,495
$500 price drop",Used,"Findlay, OH"
6157,1998 Chevrolet 1500 C1500 Silverado 2dr Extended Cab SB,Fair Deal,"199,544 mi.","$4,950",Used,"Kansas City, KS"
6158,2023 Toyota Corolla Cross XLE,Good Deal,"13,767 mi.","$27,703",Used,"Conshohocken, PA"
6159,2024 Mercedes-Benz S-Class S 580 4MATIC,Fair Deal,"2,444 mi.","$139,999
$2,999 price drop",Used,"Akron, OH"
6160,2021 Ford Shelby GT500 Base,Fair Deal,"1,996 mi.","$109,995",Used,"Bonita Springs, FL"
6161,2013 Cadillac ATS 2.0L Turbo Luxury,Good Deal,"98,297 mi.","$12,495",Used,"Lebanon, TN"
6162,2016 Dodge Grand Caravan AVP/SE,Fair Deal,"109,100 mi.","$13,995",Used,"Nanticoke, PA"
6163,2016 Cadillac CT6 3.6L Luxury,Fair Deal,"65,394 mi.","$23,981",Used,"Midland, TX"
6164,2017 Toyota Sienna Limited Premium,Good Deal,"126,915 mi.","$22,890",Used,"St. Joseph, MO"
6165,2018 Audi S6 4.0T Premium Plus,Good Deal,"58,150 mi.","$33,237",Used,"Laconia, NH"
6166,2020 Ford Ranger XLT,Good Deal,"32,801 mi.","$29,900",Used,"Chiefland, FL"
6167,2021 Chevrolet Silverado 2500 LT,Good Deal,"113,087 mi.","$44,995",Used,"Pascagoula, MS"
6168,2015 Cadillac ATS 2.0L Turbo Luxury,Great Deal,"59,251 mi.","$18,998
$1,000 price drop",Used,"Nashville, TN"
6169,2022 GMC Sierra 1500 Limited Elevation,Good Deal,"27,830 mi.","$36,139",Used,"Cheboygan, MI"
6170,2018 Jaguar E-PACE S,Good Deal,"45,640 mi.","$21,998",Used,"Dublin, OH"
6171,2019 Aston Martin Vantage Base,Great Deal,"17,462 mi.","$96,800",Used,"Las Vegas, NV"
6172,2021 Toyota Camry Hybrid XSE,Good Deal,"21,897 mi.","$32,998",Used,"Bakersfield, CA"
6173,2021 Nissan Altima 2.5 SR,Great Deal,"22,890 mi.","$19,491
$1,000 price drop",Used,"Miami, FL"
6174,2004 Lincoln LS,Great Deal,"67,000 mi.","$8,995",Used,"Lemon Grove, CA"
6175,2020 Volkswagen Tiguan 2.0T S,Good Deal,"36,035 mi.","$19,998",Used,"Naples, FL"
6176,2016 Mercedes-Benz C-Class C 300 4MATIC,Good Deal,"110,551 mi.","$15,993
$549 price drop",Used,"Franklin, WI"
6177,2023 Cadillac CT4-V Blackwing,Good Deal,"3,595 mi.","$59,998",Used,"Portland, OR"
6178,2020 Cadillac XT6 Premium Luxury AWD,Good Deal,"97,722 mi.","$26,995",Used,"Covington, LA"
6179,2018 Volkswagen Golf R 2.0T w/DCC & Navigation,Fair Deal,"74,208 mi.","$26,479
$2,512 price drop",Used,"Countryside, IL"
6180,2016 Ford Focus SE,Good Deal,"71,205 mi.","$10,766",Used,"Kaneohe, HI"
6181,2024 Mercedes-Benz AMG GLE 53 Base,Good Deal,"7,390 mi.","$83,178
$652 price drop",Mercedes-Benz Certified,"Lafayette, LA"
6182,2022 GMC Sierra 1500 Limited Denali,Fair Deal,"38,744 mi.","$49,697",Used,"Madisonville, TX"
6183,2017 Volkswagen Passat 1.8T R-Line w/Comfort,Good Deal,"95,305 mi.","$11,999
$500 price drop",Used,"Tampa, FL"
6184,2015 MINI Convertible Cooper,Good Deal,"60,060 mi.","$13,750",Used,"Chester Springs, PA"
6185,2022 Jeep Wagoneer Series II,Good Deal,"23,908 mi.","$53,155",Used,"Greenfield, MA"
6186,2021 GMC Acadia SLE,Fair Deal,"34,660 mi.","$29,995",Used,"Alpena, MI"
6187,2017 BMW M240 i,Great Deal,"56,894 mi.","$25,314",Used,"Pensacola, FL"
6188,2019 Kia Cadenza SX Limited,Good Deal,"13,729 mi.","$29,987",Used,"Clovis, CA"
6189,2012 RAM 1500 ST,Great Deal,"95,349 mi.","$16,999",Used,"Las Vegas, NV"
6190,2016 BMW 435 i xDrive,Great Deal,"71,972 mi.","$23,337
$170 price drop",Used,"Dublin, OH"
6191,2023 Chrysler 300 Touring,Good Deal,"5,216 mi.","$30,998",Used,"Kingsport, TN"
6192,2017 Toyota Land Cruiser V8,Good Deal,"114,605 mi.","$52,491",Used,"Jacksonville, FL"
6193,2021 Jeep Cherokee Altitude,Good Deal,"50,919 mi.","$21,483",Used,"Ocala, FL"
6194,2022 Lexus RX 350L Base,Great Deal,"18,000 mi.","$47,495",Used,"East Petersburg, PA"
6195,2014 Chevrolet Corvette Stingray Z51,Good Deal,"94,995 mi.","$35,300",Used,"Reidsville, NC"
6196,2006 Nissan 350Z Touring,Great Deal,"104,239 mi.","$10,800",Used,"Gadsden, AL"
6197,2015 Lexus LX 570 Base,Good Deal,"108,170 mi.","$35,998",Used,"O'Fallon, IL"
6198,2022 Porsche Macan Base,Fair Deal,"29,026 mi.","$48,998",Used,"Martin, TN"
6199,2021 Lexus UX 200 Base,Good Deal,"13,241 mi.","$29,900",Used,"Phoenix, AZ"
6200,2021 Jeep Grand Cherokee L Altitude,Great Deal,"8,301 mi.","$34,000",Used,"Honolulu, HI"
6201,2022 Toyota RAV4 Hybrid XLE Premium,Good Deal,"57,049 mi.","$32,860",Used,"Quincy, IL"
6202,2021 Chevrolet Express 2500 Work Van,Fair Deal,"63,012 mi.","$30,905",Used,"LaFollette, TN"
6203,2023 Kia Sportage X-Pro,Great Deal,"19,465 mi.","$28,998
$477 price drop",Used,"Melbourne, FL"
6204,2023 Volkswagen ID.4 AWD Pro S,Great Deal,790 mi.,"$36,995",Used,"Grand Junction, CO"
6205,2021 Volvo S60 Recharge Plug-In Hybrid T8 Inscription,Good Deal,"30,524 mi.","$33,450
$1,450 price drop",Used,"Montgomery, AL"
6206,2021 Chevrolet Tahoe Z71,Good Deal,"42,410 mi.","$56,988",Chevrolet Certified,"Zanesville, OH"
6207,2020 Ford Escape SE,Great Deal,"99,583 mi.","$16,581",Used,"Forest City, IA"
6208,2024 Porsche Cayenne Base,Good Deal,"5,301 mi.","$92,900",Used,"Madison, WI"
6209,2015 McLaren 650S Base,Great Deal,"9,750 mi.","$131,500",Used,"Moorpark, CA"
6210,2002 Ford Explorer Sport Trac Base,Good Deal,"208,000 mi.","$7,700",Used,"Roseville, CA"
6211,2020 INFINITI QX50 ESSENTIAL AWD,Good Deal,"52,870 mi.","$27,496",Used,"Grand Rapids, MI"
6212,2024 GMC Sierra 3500 Denali,Good Deal,"28,598 mi.","$87,995
$500 price drop",Used,"Twin Falls, ID"
6213,2022 MINI Hardtop Cooper,Good Deal,"1,994 mi.","$25,950",Used,"St Louis, MO"
6214,2021 Acura ILX Premium Package,Good Deal,"36,680 mi.","$23,000",Acura Certified,"Emmaus, PA"
6215,2020 Chevrolet Blazer 1LT,Great Deal,"36,940 mi.","$21,339",Used,"Webster, TX"
6216,2023 BMW X3 M AWD,Fair Deal,"4,389 mi.","$77,966",Used,"Los Angeles, CA"
6217,2014 Jeep Cherokee Trailhawk,Good Deal,"146,303 mi.","$10,999",Used,"Sheboygan, WI"
6218,2020 RAM 3500 Limited,Good Deal,"32,513 mi.","$71,999",Used,"Yorkville, NY"
6219,2013 BMW 128 i,Great Deal,"90,668 mi.","$11,223",Used,"Fishers, IN"
6220,2021 Nissan Sentra S,Good Deal,"88,809 mi.","$15,495",Used,"Bloomington, IL"
6221,2024 BMW ALPINA B8 Gran Coupe xDrive,Fair Deal,"24,400 mi.","$130,000",Used,"Louisville, KY"
6222,1999 Buick Century Limited CMI,Fair Deal,"135,891 mi.","$3,500",Used,"Bakersfield, CA"
6223,2023 Lexus NX 350 Premium,Good Deal,"25,361 mi.","$39,871
$1,086 price drop",Used,"Harrisburg, PA"
6224,2017 INFINITI Q60 3.0T Premium,Fair Deal,"95,187 mi.","$22,999",Used,"Dallas, TX"
6225,2018 Nissan Titan Platinum Reserve,Great Deal,"57,266 mi.","$30,000
$9,546 price drop",Used,"Peoria, IL"
6226,2007 Suzuki SX4 Base,Good Deal,"50,000 mi.","$6,200",Used,"Englishtown, NJ"
6227,2017 Subaru Outback 2.5i Premium,Good Deal,"92,763 mi.","$16,750",Used,"Laurel, MD"
6228,2022 Jeep Grand Cherokee L Limited,Good Deal,"19,472 mi.","$37,977",Used,"Pueblo, CO"
6229,2017 Hyundai Sonata SE,Good Deal,"84,240 mi.","$10,165",Used,"Columbus, OH"
6230,2023 Nissan Altima 2.5 SL,Good Deal,"26,441 mi.","$24,900
$200 price drop",Used,"Wiggins, MS"
6231,2019 Ford Taurus SE,Good Deal,"87,753 mi.","$15,387
$200 price drop",Used,"Paris, KY"
6232,2019 GMC Terrain SLE,Fair Deal,"101,768 mi.","$16,995",Used,"Hillsboro, OH"
6233,2023 Kia Niro EX Touring,Good Deal,"33,456 mi.","$26,977",Used,"Iowa City, IA"
6234,2022 Kia Sorento Hybrid S,Fair Deal,"27,495 mi.","$31,018",Used,"West Palm Beach, FL"
6235,2015 BMW 528 i,Great Deal,"71,773 mi.","$14,444
$1,000 price drop",Used,"Fort Myers, FL"
6236,2016 Chevrolet Traverse 2LT,Great Deal,"125,262 mi.","$11,995",Used,"Beavercreek, OH"
6237,2021 Nissan Murano SV,Good Deal,"62,952 mi.","$19,489
$310 price drop",Used,"Lebanon, PA"
6238,2020 Porsche Cayenne Base,Great Deal,"28,683 mi.","$53,000",Used,"Hurlock, MD"
6239,2021 Lexus LC 500 Base,Good Deal,"33,653 mi.","$69,994",Used,"Colma, CA"
6240,2023 BMW X5 PHEV xDrive45e,Great Deal,"44,845 mi.","$47,786
$1,043 price drop",Used,"Columbia, MO"
6241,2022 BMW X4 xDrive30i,Good Deal,"44,782 mi.","$37,032",Used,"San Luis Obispo, CA"
6242,2022 Mercedes-Benz Sprinter 4500 High Roof V6,Great Deal,"3,855 mi.","$67,900",Used,"Hooksett, NH"
6243,2020 Hyundai Elantra SEL,Good Deal,"47,471 mi.","$16,998",Used,"Bristol, TN"
6244,2018 Chevrolet Silverado 2500 LTZ,Great Deal,"130,729 mi.","$38,999",Used,"Vernon, TX"
6245,2021 Land Rover Range Rover Velar P250 S,Fair Deal,"63,160 mi.","$34,460",Used,"San Diego, CA"
6246,2019 GMC Terrain SLT,Good Deal,"116,386 mi.","$17,295",Used,"Warsaw, IN"
6247,2022 Nissan Altima 2.5 SV,Great Deal,"31,333 mi.","$21,880
$1,000 price drop",Used,"Tazewell, VA"
6248,2023 Volvo S90 B6 Plus,Good Deal,"3,514 mi.","$50,617",Volvo Certified,"Bend, OR"
6249,2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,Good Deal,"34,474 mi.","$33,987
$600 price drop",Used,"Aurora, CO"
6250,2019 Subaru Ascent Premium 8-Passenger,Good Deal,"81,820 mi.","$21,676
$572 price drop",Used,"Newark, DE"
6251,2022 Nissan Rogue SV,Good Deal,"33,966 mi.","$20,863",Used,"Fort Pierce, FL"
6252,2001 Toyota MR2 Spyder,Great Deal,"27,890 mi.","$20,728",Used,"Forest Lake, MN"
6253,2012 Porsche 911 Carrera GTS,Good Deal,"26,691 mi.","$66,400
$4,700 price drop",Used,"Lexington, KY"
6254,2016 Chrysler 200 S,Good Deal,"111,667 mi.","$11,000",Used,"Binghamton, NY"
6255,2022 Ford EcoSport S,Fair Deal,"18,845 mi.","$22,040",Used,"Longview, TX"
6256,2022 Porsche 718 Spyder Roadster,Good Deal,"1,301 mi.","$141,000",Used,"Colorado Springs, CO"
6257,2016 Hyundai Elantra SE,Good Deal,"103,271 mi.","$10,065",Used,"Johnson City, TN"
6258,2019 Jeep Grand Cherokee Altitude,Fair Deal,"109,410 mi.","$22,822",Used,"Mankato, MN"
6259,2021 Ford Bronco Sport Big Bend,Fair Deal,"44,070 mi.","$28,800",Used,"Albany, MN"
6260,2023 BMW M550 i xDrive,Good Deal,"4,000 mi.","$72,145",Used,"Orlando, FL"
6261,2019 MINI Clubman Cooper S ALL4,Great Deal,"36,192 mi.","$22,800",Used,"Barrington, RI"
6262,2022 Ford Bronco Sport Big Bend,Good Deal,"19,630 mi.","$28,588",Used,"Taylorville, IL"
6263,2022 Mitsubishi Eclipse Cross SE,Fair Deal,"15,815 mi.","$21,900",Used,"Stuart, FL"
6264,2018 Audi A6 2.0T Premium quattro,Great Deal,"52,962 mi.","$23,998",Used,"Colorado Springs, CO"
