,title,deal_rating,mileage,price,stock_type,location
1267,2024 Land Rover Range Rover P530 SE,Great Deal,"3,045 mi.","$153,999
$1,000 price drop",Used,"Delray Beach, FL"
1268,2021 BMW 330e 330e,Good Deal,"26,892 mi.","$31,792
$198 price drop",BMW Certified,"Seaside, CA"
1269,2020 Mercedes-Benz AMG GT R,Good Deal,"8,198 mi.","$149,900
$7,600 price drop",Mercedes-Benz Certified,"Tulsa, OK"
1270,2019 Volkswagen Jetta 1.4T S,Good Deal,"65,071 mi.","$14,750
$300 price drop",Used,"Altus, OK"
1271,2019 Chevrolet Silverado 1500 LD LT,Good Deal,"85,436 mi.","$26,980",Used,"Mechanicsburg, OH"
1272,2023 Dodge Challenger R/T Scat Pack,Good Deal,"1,559 mi.","$53,995",Used,"Paxton, IL"
1273,2022 Toyota 4Runner SR5,Good Deal,"54,762 mi.","$34,332",Used,"Wytheville, VA"
1274,2018 Ford Mustang GT,Good Deal,"46,467 mi.","$31,988",Used,"Watsonville, CA"
1275,2020 Toyota Supra 3.0 Premium Launch Edition,Fair Deal,"9,271 mi.","$74,995",Used,"Las Vegas, NV"
1276,1995 BMW 325 325iC,Fair Deal,"97,971 mi.","$9,580",Used,"Kensington, MD"
1277,2023 Audi S3 2.0T quattro Premium,Good Deal,"5,942 mi.","$40,602
$1,239 price drop",Used,"Naples, FL"
1278,2015 Toyota Avalon Hybrid Limited,Good Deal,"116,538 mi.","$15,975",Used,"Keller, TX"
1279,2016 Mazda CX-9 Signature,Good Deal,"107,538 mi.","$16,994
$259 price drop",Used,"Louisville, KY"
1280,2011 Jaguar XK Base,Good Deal,"51,197 mi.","$22,995",Used,"Avon, MA"
1281,2011 Lexus IS 250C Base,Fair Deal,"113,743 mi.","$17,990",Used,"Baton Rouge, LA"
1282,2016 Porsche Cayenne Diesel,Fair Deal,"96,132 mi.","$30,595
$300 price drop",Used,"Fort Wayne, IN"
1283,2018 Cadillac ATS 2.0L Turbo Luxury,Great Deal,"70,568 mi.","$19,480",Used,"Springfield, MO"
1284,2023 GMC Sierra 1500 Elevation,Good Deal,"15,517 mi.","$42,794
$1,000 price drop",Used,"Elyria, OH"
1285,2014 BMW X1 xDrive 28i,Good Deal,"110,100 mi.","$10,900",Used,"Duluth, MN"
1286,2012 INFINITI EX35 RWD 4dr Journey,Good Deal,"141,728 mi.","$10,989",Used,"Nashville, TN"
1287,2007 Dodge Ram 1500 Laramie,Great Deal,"122,928 mi.","$8,905
$495 price drop",Used,"Woods Cross, UT"
1288,2021 Lexus NX 300 Base,Great Deal,"32,319 mi.","$30,900
$2,000 price drop",Used,"Jonesborough, TN"
1289,2023 Honda Accord EX 1.5T,Good Deal,"15,493 mi.","$26,995",Used,"Lafayette, IN"
1290,2022 Mercedes-Benz AMG GLE 53 Base,Good Deal,"12,378 mi.","$78,800",Used,"Odessa, TX"
1291,2005 Mercedes-Benz SL-Class SL500 Roadster,Great Deal,"2,277 mi.","$35,696",Used,"Columbus, GA"
1292,2015 Land Rover Range Rover 3.0L Supercharged HSE,Fair Deal,"116,005 mi.","$22,995",Used,"Rockford, IL"
1293,2020 Lexus GX 460 Premium,Good Deal,"28,001 mi.","$43,789
$752 price drop",Used,"Park City, UT"
1294,2019 Alfa Romeo Giulia Base,Great Deal,"46,749 mi.","$19,375
$2,000 price drop",Used,"Oklahoma City, OK"
1295,2014 Chevrolet Cruze LTZ,Fair Deal,"134,122 mi.","$9,998",Used,"Medford, OR"
1296,2021 BMW X5 M Base,Fair Deal,"41,534 mi.","$69,953
$930 price drop",Used,"Chicopee, MA"
1297,2021 Audi SQ5 3.0T Prestige,Good Deal,"94,570 mi.","$30,555
$229 price drop",Used,"Tallahassee, FL"
1298,2018 Audi A3 2.0T Premium,Great Deal,"92,000 mi.","$17,500",Used,"Apalachin, NY"
1299,2023 RAM ProMaster 1500 Base,Great Deal,278 mi.,"$42,000
$1,500 price drop",Used,"Roanoke, IL"
1300,2016 BMW 435 Gran Coupe 435i xDrive,Great Deal,"158,872 mi.","$10,999
$500 price drop",Used,"Elmhurst, IL"
1301,2021 GMC Terrain SLE,Good Deal,"35,926 mi.","$22,290",Used,"Coral Springs, FL"
1302,2022 Dodge Charger GT,Good Deal,"29,121 mi.","$32,799
$1,910 price drop",Used,"Colorado Springs, CO"
1303,2020 Mitsubishi Mirage G4 SE,Great Deal,"34,343 mi.","$11,495",Used,"Herkimer, NY"
